DATAFILE_AS_OF,REPORT_YEAR,REPORT_NUMBER,SUPPLEMENTAL_NUMBER,OPERATOR_ID,PARTA2NAMEOFCOMP,LNG_FACILITY_ID,FACILITY_NAME,UNIT_ID,NPMS_LNG_ID,FACILITY_STATE,FACILITY_ZIP_CODE,FACILITY_STATUS,IN_SERVICE_SINCE,LIQUEFACTION_RATE,NO_OF_VAPORIZERS,TOTAL_CAPACITY_MMCF,LNG_SOURCE,INTER_INTRA_STATE,NO_OF_LNG_TANKS,TOTAL_CAPACITY_BBLS,TYPE_OF_FACILITY,TYPE_OF_FACILITY_OTHER,FUNCTION_OF_FACILITY,FUNCTION_OF_FACILITY_OTHER,REPORT_SUBMISSION_TYPE,REPORT_DATE,FILING_DATE
03/01/22,2019,20200090,1064,180,SPIRE ALABAMA INC.,2168,EAST LAUDERDALE LNG FACILITY,89342,ELA-LNG-03,AL,35645,In Service,12/15/1995,0,4,2.988,Truck,Intrastate,2,1667,Satellite,,Storage w/o Liquefaction,,INITIAL,3/14/2020,3/14/2020
03/01/22,2019,20200090,1064,180,SPIRE ALABAMA INC.,2169,COOSADA LNG FACILITY,89340,MO-LNG-01,AL,36020,In Service,10/16/1972,2,3,80,Liquefaction,Intrastate,1,175000,Peak Shaving,,Storage w/ Liquefaction,,INITIAL,3/14/2020,3/14/2020
03/01/22,2019,20200090,1064,180,SPIRE ALABAMA INC.,2170,PINSON LNG FACILITY,89343,BG-LNG-01,AL,35215,In Service,10/15/1965,12,5,120,Liquefaction,Intrastate,2,350000,Peak Shaving,,Storage w/ Liquefaction,,INITIAL,3/14/2020,3/14/2020
03/01/22,2019,20200090,1064,180,SPIRE ALABAMA INC.,2171,DOUBLE SPRINGS LNG FACILITY,89341,,AL,35553,In Service,12/15/1995,0,2,0.768,Truck,Intrastate,1,357,Satellite,,Storage w/o Liquefaction,,INITIAL,3/14/2020,3/14/2020
03/01/22,2019,20200024,979,792,ATLANTA GAS LIGHT CO,2080,CHEROKEE,89344,362,GA,30107,In Service,7/31/1988,10,6,624,Liquefaction,Intrastate,1,600000,Peak Shaving,,Storage w/ Liquefaction,,INITIAL,2/16/2020,2/16/2020
03/01/22,2019,20200024,979,792,ATLANTA GAS LIGHT CO,2081,MACON,89345,1078,GA,31210,In Service,10/1/1977,10,2,150,Liquefaction,Intrastate,1,450000,Peak Shaving,,Storage w/ Liquefaction,,INITIAL,2/16/2020,2/16/2020
03/01/22,2019,20200024,979,792,ATLANTA GAS LIGHT CO,2082,RIVERDALE,89346,1069,GA,30274,In Service,6/28/1972,10,7,400,Liquefaction,Intrastate,2,740000,Peak Shaving,,Storage w/ Liquefaction,,INITIAL,2/16/2020,2/16/2020
03/01/22,2019,20200017,970,909,"AUSTELL NATURAL GAS SYSTEM, CITY OF",2041,AGS LNG PLANT,89347,777,GA,30106,Retired,6/22/1972,0,1,24,Truck,Intrastate,1,23300,Satellite,,Storage w/o Liquefaction,,INITIAL,2/5/2020,2/5/2020
03/01/22,2019,20200085,1059,1088,BALTIMORE GAS AND ELECTRIC COMPANY,2163,SPRING GARDENS,89348,100402,MD,21230,In Service,3/1/1971,5.75,4,312,Liquefaction,Intrastate,3,290000,Peak Shaving,,Storage w/ Liquefaction,,INITIAL,3/13/2020,3/13/2020
03/01/22,2019,20200084,1058,1209,COLUMBIA GAS OF MASSACHUSETTS,2209,MARSHFIELD LNG,89352,1001,MA,,In Service,1/1/1973,0,1,13,Truck,Intrastate,2,3548,Peak Shaving,,Storage w/o Liquefaction,,INITIAL,3/13/2020,3/13/2020
